City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,punta arenas,-53.15,-70.9167,16.06,51,75,7.2,CL,1706472424
113,mangrol,21.1167,70.1167,20.29,62,100,4.56,IN,1706472424
114,kaihua,23.3687,104.28,7.22,97,100,1.86,CN,1706472425
115,ugoofaaru,5.6667,73.0,27.45,74,17,6.35,MV,1706472425
116,san jose,37.3394,-121.895,23.56,68,40,2.24,US,1706471848
117,karratha,-20.7377,116.8463,25.24,78,2,6.57,AU,1706472426
118,bethel,41.3712,-73.414,3.34,86,100,4.12,US,1706472426
119,muriti,-1.9833,32.9167,23.64,70,85,2.44,TZ,1706472426
120,petropavlovsk-kamchatsky,53.0452,158.6483,-9.19,94,0,4.0,RU,1706472426
121,santa maria del oro,25.9333,-105.3667,18.65,19,0,2.3,MX,1706472427
122,hami,42.8,93.45,-8.18,62,100,2.0,CN,1706472427
123,las heras,-46.5419,-68.9359,27.8,9,97,6.77,AR,1706472427
124,bikenibeu village,1.3673,173.1241,28.52,68,100,6.46,KI,1706472427
125,winnemucca,40.973,-117.7357,11.23,57,71,1.8,US,1706472422
126,long beach,33.767,-118.1892,27.68,43,0,4.12,US,1706472159
127,bredasdorp,-34.5322,20.0403,20.26,76,100,0.84,ZA,1706472428
128,sorong,-0.8833,131.25,26.18,86,68,1.26,ID,1706472321
129,petrozavodsk,61.7849,34.3469,-1.3,93,100,6.0,RU,1706472429
130,amga,60.8953,131.9608,-43.15,100,99,0.44,RU,1706472429
131,namibe,-15.1961,12.1522,23.8,78,50,4.29,AO,1706472430
132,remire-montjoly,4.9167,-52.2667,30.02,66,20,4.12,GF,1706472430
133,iskateley,67.6803,53.1512,-6.56,94,100,6.63,RU,1706472430
134,bathsheba,13.2167,-59.5167,28.34,78,40,6.69,BB,1706472431
135,bosaso,11.2842,49.1816,25.27,80,94,0.94,SO,1706472432
136,nova vicosa,-17.8919,-39.3719,24.8,92,100,5.35,BR,1706472432
137,castillos,-34.1667,-53.8333,24.2,61,60,5.37,UY,1706472432
138,guiratinga,-16.3494,-53.7583,34.49,19,43,3.28,BR,1706472432
139,semera,11.501,41.201,25.13,57,96,4.63,ET,1706472433
140,novohrad-volynskyi,50.5941,27.6165,-1.1,75,96,2.2,UA,1706472433
141,utrik,11.2278,169.8474,25.47,66,100,5.3,MH,1706472433
142,island harbour,50.724,-1.2758,10.04,92,100,1.34,GB,1706472434
143,haiku-pauwela,20.9219,-156.3051,26.81,75,20,9.77,US,1706472434
144,indapur,18.3,73.25,22.1,53,97,1.09,IN,1706472434
145,tangwani,28.2787,68.9972,16.54,26,55,3.76,PK,1706472434
146,mount pearl,47.5166,-52.7813,-0.48,84,97,2.68,CA,1706472435
147,labytnangi,66.6572,66.4183,-21.79,100,100,1.73,RU,1706472435
148,east falmouth,41.5784,-70.5586,4.99,96,100,7.6,US,1706472435
149,tura,25.5198,90.2201,12.35,64,90,1.18,IN,1706472436
150,antofagasta,-23.65,-70.4,23.6,69,4,4.26,CL,1706472188
151,bingol,38.8847,40.4939,-7.07,86,100,1.87,TR,1706472436
152,idri,27.5,13.2667,12.8,59,0,4.72,LY,1706472436
153,cromwell,41.5951,-72.6454,3.36,95,100,3.6,US,1706472437
154,shenjiamen,29.9576,122.298,7.15,59,91,2.07,CN,1706472437
155,egilsstadir,65.2653,-14.3948,-4.65,76,100,5.4,IS,1706472437
156,sibiti,-3.6819,13.3499,22.43,93,100,0.67,CG,1706472438
157,la passe,45.5549,-0.8967,12.13,84,48,7.07,FR,1706472438
158,port shepstone,-30.7414,30.455,23.71,88,28,5.21,ZA,1706472438
159,qaqortoq,60.7167,-46.0333,-22.5,63,21,4.55,GL,1706472439
160,fort st. john,56.2499,-120.8529,6.94,61,75,10.29,CA,1706472327
161,darfo boario terme,45.8835,10.1807,8.92,60,10,1.72,IT,1706472439
162,zhanaozen,43.3,52.8,0.75,99,100,2.27,KZ,1706472439
163,am timan,11.0297,20.2827,24.79,16,16,3.04,TD,1706472440
164,gornozavodsk,58.3758,58.3211,-19.94,100,100,0.54,RU,1706472440
165,zemio,5.0314,25.1361,25.1,32,99,1.51,CF,1706472440
166,polyarnyy,69.1989,33.4478,-1.34,82,100,7.78,RU,1706472440
167,gaalkacyo,6.7697,47.4308,24.05,82,100,7.37,SO,1706472441
168,itaituba,-4.2761,-55.9836,23.78,99,100,0.8,BR,1706472441
169,flying fish cove,-10.4217,105.6791,26.82,89,75,2.06,CX,1706472181
170,altamont,42.2068,-121.7372,15.43,80,0,1.54,US,1706472238
171,gadzhiyevo,69.2551,33.3362,-1.71,82,100,7.52,RU,1706472442
172,port douglas,-16.4833,145.4667,27.3,82,92,2.05,AU,1706472442
173,uturoa,-16.7333,-151.4333,27.98,79,36,3.37,PF,1706472442
174,port hueneme,34.1478,-119.1951,29.1,26,0,6.17,US,1706472442
175,pisco,-13.7,-76.2167,29.03,58,0,7.2,PE,1706472443
176,okhotsk,59.3833,143.3,-23.88,72,90,6.18,RU,1706472281
177,port lincoln,-34.7333,135.8667,17.52,81,0,2.58,AU,1706472443
178,lihue,21.9789,-159.3672,26.87,78,0,6.17,US,1706472443
179,chonchi,-42.6128,-73.8092,21.56,41,3,0.69,CL,1706472444
180,masterton,-40.9597,175.6575,18.27,80,55,2.49,NZ,1706472444
181,mpika,-11.8343,31.4529,18.44,94,95,1.41,ZM,1706472444
